2022-05-20 12:05:171 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (7005283009aa6956a1bed6ee4aaba9aa)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-20 12:05:985 INFO  HomePage :49 - select make : Jeep
2022-05-20 12:05:72 INFO  HomePage :55 - select model : Cherokee
2022-05-20 12:05:186 INFO  HomePage :61 - select model : ACT-All
2022-05-20 12:05:294 INFO  HomePage :66 - select model : $20,000
2022-05-20 12:05:520 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (7005283009aa6956a1bed6ee4aaba9aa)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:768 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (7005283009aa6956a1bed6ee4aaba9aa)] -> css selector: .listing-search-title]
2022-05-20 12:05:465 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:652 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (882019d25cb1602d2c86c4d4f8750202)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:759 INFO  HomePage :37 - Clicking on Search Car Option : [[ChromeDriver: chrome on WINDOWS (882019d25cb1602d2c86c4d4f8750202)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:780 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (882019d25cb1602d2c86c4d4f8750202)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-20 12:05:73 INFO  HomePage :49 - select make : Kia
